word,type,
selective,ADJECTIVE,
semantic,ADJECTIVE,
senior,ADJECTIVE,
sensible,ADJECTIVE,
sensitive,ADJECTIVE,
separate,ADJECTIVE,
serious,ADJECTIVE,
seventh,ADJECTIVE,
severe,ADJECTIVE,
sexual,ADJECTIVE,
shallow,ADJECTIVE,
shallower,ADJECTIVE,
shallowest,ADJECTIVE,
sharp,ADJECTIVE,
sharper,ADJECTIVE,
sharpest,ADJECTIVE,
sheer,ADJECTIVE,
short,ADJECTIVE,
short-term,ADJECTIVE,
shorter,ADJECTIVE,
shorter-term,ADJECTIVE,
shortest,ADJECTIVE,
shortest-term,ADJECTIVE,
shy,ADJECTIVE,
sick,ADJECTIVE,
sicker,ADJECTIVE,
sickest,ADJECTIVE,
significant,ADJECTIVE,
silent,ADJECTIVE,
sillier,ADJECTIVE,
silliest,ADJECTIVE,
silly,ADJECTIVE,
similar,ADJECTIVE,
simple,ADJECTIVE,
single,ADJECTIVE,
sixth,ADJECTIVE,
slight,ADJECTIVE,
slighter,ADJECTIVE,
slightest,ADJECTIVE,
slim,ADJECTIVE,
slimmer,ADJECTIVE,
slow,ADJECTIVE,
slower,ADJECTIVE,
slowest,ADJECTIVE,
small,ADJECTIVE,
smaller,ADJECTIVE,
smallest,ADJECTIVE,
smart,ADJECTIVE,
smooth,ADJECTIVE,
smoother,ADJECTIVE,
smoothest,ADJECTIVE,
so-called,ADJECTIVE,
social,ADJECTIVE,
socialist,ADJECTIVE,
sociological,ADJECTIVE,
soft,ADJECTIVE,
softer,ADJECTIVE,
softest,ADJECTIVE,
solar,ADJECTIVE,
sole,ADJECTIVE,
solid,ADJECTIVE,
solitary,ADJECTIVE,
sore,ADJECTIVE,
sorer,ADJECTIVE,
sorest,ADJECTIVE,
sorrier,ADJECTIVE,
sorriest,ADJECTIVE,
sorry,ADJECTIVE,
sound,ADJECTIVE,
sounder,ADJECTIVE,
soundest,ADJECTIVE,
southern,ADJECTIVE,
soviet,ADJECTIVE,
spare,ADJECTIVE,
sparer,ADJECTIVE,
sparest,ADJECTIVE,
spatial,ADJECTIVE,
special,ADJECTIVE,
specific,ADJECTIVE,
spectacular,ADJECTIVE,
spiritual,ADJECTIVE,
splendid,ADJECTIVE,
spontaneous,ADJECTIVE,
square,ADJECTIVE,
squarer,ADJECTIVE,
squarest,ADJECTIVE,
stable,ADJECTIVE,
standard,ADJECTIVE,
static,ADJECTIVE,
statistical,ADJECTIVE,
statutory,ADJECTIVE,
steadier,ADJECTIVE,
steadiest,ADJECTIVE,
steady,ADJECTIVE,
steep,ADJECTIVE,
steeper,ADJECTIVE,
steepest,ADJECTIVE,
stickier,ADJECTIVE,
stickiest,ADJECTIVE,
sticky,ADJECTIVE,
stiff,ADJECTIVE,
stiffer,ADJECTIVE,
stiffest,ADJECTIVE,
still,ADJECTIVE,
straight,ADJECTIVE,
straighter,ADJECTIVE,
straightest,ADJECTIVE,
straightforward,ADJECTIVE,
strange,ADJECTIVE,
stranger,ADJECTIVE,
strangest,ADJECTIVE,
strategic,ADJECTIVE,
strict,ADJECTIVE,
stricter,ADJECTIVE,
strictest,ADJECTIVE,
strong,ADJECTIVE,
stronger,ADJECTIVE,
strongest,ADJECTIVE,
structural,ADJECTIVE,
stupid,ADJECTIVE,
subject,ADJECTIVE,
subjective,ADJECTIVE,
subordinate,ADJECTIVE,
subsequent,ADJECTIVE,
substantial,ADJECTIVE,
substantive,ADJECTIVE,
subtle,ADJECTIVE,
successful,ADJECTIVE,
successive,ADJECTIVE,
sudden,ADJECTIVE,
sufficient,ADJECTIVE,
suitable,ADJECTIVE,
sunnier,ADJECTIVE,
sunniest,ADJECTIVE,
sunny,ADJECTIVE,
super,ADJECTIVE,
superb,ADJECTIVE,
superber,ADJECTIVE,
superbest,ADJECTIVE,
superior,ADJECTIVE,
supplementary,ADJECTIVE,
supportive,ADJECTIVE,
supreme,ADJECTIVE,
sure,ADJECTIVE,
surer,ADJECTIVE,
surest,ADJECTIVE,
surgical,ADJECTIVE,
surplus,ADJECTIVE,
suspicious,ADJECTIVE,
sweet,ADJECTIVE,
sweeter,ADJECTIVE,
sweetest,ADJECTIVE,
swift,ADJECTIVE,
swifter,ADJECTIVE,
swiftest,ADJECTIVE,
symbolic,ADJECTIVE,
sympathetic,ADJECTIVE,
syntactic,ADJECTIVE,
systematic,ADJECTIVE,
talented,ADJECTIVE,
tall,ADJECTIVE,
taller,ADJECTIVE,
tallest,ADJECTIVE,
technical,ADJECTIVE,
technological,ADJECTIVE,
teenage,ADJECTIVE,
temporary,ADJECTIVE,
tender,ADJECTIVE,
tenderer,ADJECTIVE,
tenderest,ADJECTIVE,
tense,ADJECTIVE,
tenser,ADJECTIVE,
tensest,ADJECTIVE,
tenth,ADJECTIVE,
terminal,ADJECTIVE,
terrible,ADJECTIVE,
territorial,ADJECTIVE,
then,ADJECTIVE,
theoretical,ADJECTIVE,
thick,ADJECTIVE,
thicker,ADJECTIVE,
thickest,ADJECTIVE,
thin,ADJECTIVE,
thinner,ADJECTIVE,
third,ADJECTIVE,
thorough,ADJECTIVE,
tight,ADJECTIVE,
tighter,ADJECTIVE,
tightest,ADJECTIVE,
tinier,ADJECTIVE,
tiniest,ADJECTIVE,
tiny,ADJECTIVE,
top,ADJECTIVE,
tory,ADJECTIVE,
total,ADJECTIVE,
tough,ADJECTIVE,
tougher,ADJECTIVE,
toughest,ADJECTIVE,
toxic,ADJECTIVE,
traditional,ADJECTIVE,
tragic,ADJECTIVE,
tremendous,ADJECTIVE,
trivial,ADJECTIVE,
tropical,ADJECTIVE,
true,ADJECTIVE,
twelfth,ADJECTIVE,
twentieth,ADJECTIVE,
two-thirds,ADJECTIVE,
typical,ADJECTIVE,
uglier,ADJECTIVE,
ugliest,ADJECTIVE,
ugly,ADJECTIVE,
ultimate,ADJECTIVE,
unable,ADJECTIVE,
unacceptable,ADJECTIVE,
unaware,ADJECTIVE,
uncertain,ADJECTIVE,
unchanged,ADJECTIVE,
unclear,ADJECTIVE,
uncomfortable,ADJECTIVE,
unconscious,ADJECTIVE,
underground,ADJECTIVE,
understandable,ADJECTIVE,
uneasier,ADJECTIVE,
uneasiest,ADJECTIVE,
uneasy,ADJECTIVE,
unemployed,ADJECTIVE,
unexpected,ADJECTIVE,
unfair,ADJECTIVE,
unfairer,ADJECTIVE,
unfairest,ADJECTIVE,
unfamiliar,ADJECTIVE,
unfortunate,ADJECTIVE,
unhappier,ADJECTIVE,
unhappiest,ADJECTIVE,
unhappy,ADJECTIVE,
uniform,ADJECTIVE,
unique,ADJECTIVE,
universal,ADJECTIVE,
unknown,ADJECTIVE,
unlawful,ADJECTIVE,
unlikely,ADJECTIVE,
unnecessary,ADJECTIVE,
unpleasant,ADJECTIVE,
unprecedented,ADJECTIVE,
unreasonable,ADJECTIVE,
unsatisfactory,ADJECTIVE,
unsuccessful,ADJECTIVE,
unusual,ADJECTIVE,
unwanted,ADJECTIVE,
unwilling,ADJECTIVE,
upper,ADJECTIVE,
uppermore,ADJECTIVE,
uppermost,ADJECTIVE,
upset,ADJECTIVE,
urban,ADJECTIVE,
urgent,ADJECTIVE,
useful,ADJECTIVE,
useless,ADJECTIVE,
usual,ADJECTIVE,
vacant,ADJECTIVE,
vague,ADJECTIVE,
vaguer,ADJECTIVE,
vaguest,ADJECTIVE,
vain,ADJECTIVE,
valid,ADJECTIVE,
valuable,ADJECTIVE,
variable,ADJECTIVE,
various,ADJECTIVE,
vast,ADJECTIVE,
verbal,ADJECTIVE,
verier,ADJECTIVE,
veriest,ADJECTIVE,
vertical,ADJECTIVE,
very,ADJECTIVE,
viable,ADJECTIVE,
vicious,ADJECTIVE,
vigorous,ADJECTIVE,
violent,ADJECTIVE,
virtual,ADJECTIVE,
visible,ADJECTIVE,
visual,ADJECTIVE,
vital,ADJECTIVE,
vivid,ADJECTIVE,
vivider,ADJECTIVE,
vocational,ADJECTIVE,
voluntary,ADJECTIVE,
vulnerable,ADJECTIVE,
warier,ADJECTIVE,
wariest,ADJECTIVE,
warm,ADJECTIVE,
warmer,ADJECTIVE,
warmest,ADJECTIVE,
wary,ADJECTIVE,
weak,ADJECTIVE,
weaker,ADJECTIVE,
weakest,ADJECTIVE,
wealthy,ADJECTIVE,
wee,ADJECTIVE,
weekly,ADJECTIVE,
weer,ADJECTIVE,
weest,ADJECTIVE,
weird,ADJECTIVE,
weirder,ADJECTIVE,
weirdest,ADJECTIVE,
welcome,ADJECTIVE,
well-known,ADJECTIVE,
western,ADJECTIVE,
wet,ADJECTIVE,
wetter,ADJECTIVE,
white,ADJECTIVE,
whiter,ADJECTIVE,
whitest,ADJECTIVE,
whole,ADJECTIVE,
wicked,ADJECTIVE,
wide,ADJECTIVE,
wider,ADJECTIVE,
widespread,ADJECTIVE,
widest,ADJECTIVE,
wild,ADJECTIVE,
wilder,ADJECTIVE,
wildest,ADJECTIVE,
wise,ADJECTIVE,
wonderful,ADJECTIVE,
wooden,ADJECTIVE,
working-class,ADJECTIVE,
worldwide,ADJECTIVE,
worse,ADJECTIVE,
worst,ADJECTIVE,
worthier,ADJECTIVE,
worthiest,ADJECTIVE,
worthwhile,ADJECTIVE,
worthy,ADJECTIVE,
would-be,ADJECTIVE,
wrong,ADJECTIVE,
yellow,ADJECTIVE,
yellower,ADJECTIVE,
yellowest,ADJECTIVE,
young,ADJECTIVE,
younger,ADJECTIVE,
youngest,ADJECTIVE,
zero,ADJECTIVE,
